SiteCode,Regions,Country,Site name,National name,Global KBA criteria,KBA Classification,Ecosystems,Latitude,Longitude,Elevation (m),Area (Km2),PA/OECM coverage (%),Legacy site,Year of assessment
100175,South America,Peru,Río Fortaleza,Río Fortaleza,"A1a,A1b,A1d,B1",Global,"terrestrial, freshwater",-10.3197,-77.622,200 to 2770,659.16359,,No,2023
100176,South America,Peru,Río Rupac,Río Rupac,"B1,B2",Global,"terrestrial, freshwater",-8.5793,-77.4834,1725 to 3730,170.36746,,No,2023
100177,South America,Peru,Río Vilcabamba,Río Vilcabamba,"A1a,B1",Global,"terrestrial, freshwater",-14.053,-72.592,2800 to 3900,52.11082,,No,2023
100180,South America,Peru,Tamshiyacu Tahuayo,Tamshiyacu Tahuayo,"A1a,B1",Global,"terrestrial, freshwater",-4.608,-72.963,150 to 250,4198.83708,,No,2023
100181,South America,Peru,Monte Azul,Monte Azul,,Global,terrestrial,-9.8667,-76.4331,3000 to 4200,6.27227,,No,2023
100182,South America,Peru,Huallaga Dry Forests ,Bosques Secos del Huallaga ,"A1a,A1c",Global,terrestrial,-6.8595,-76.4341,300 to 600,70.24399,,No,2023
100185,South America,Peru,Tres Quebradas y Shitariyacu,Tres Quebradas y Shitariyacu,"A1a,A1c",Global,terrestrial,-72.6171,-76.8806,350 to 1300,69.32175,,No,2023
100186,South America,Peru,Aguaytia - San Alejandro,Aguaytia - San Alejandro,"A1e,B2",Global,"terrestrial, freshwater",-9.176,-75.595,207 to 2174,4774.24292,,No,2023
100187,South America,Peru,Amarakaeri,Amarakaeri,"B1,B2",Global,terrestrial,-12.759,-70.894,303 to 2704,6169.61912,,No,2023
100188,South America,Peru,Bosque de Protección San Matías San Carlos,Bosque de Protección San Matías San Carlos,"A1a,A1b,B1",Global,terrestrial,-10.531,-74.948,250 to 2250,2607.72283,56.9,No,2023
