"SiteCode","Regions","Country","Site name","National name","Global KBA criteria","KBA Classification","Ecosystems","Latitude","Longitude","Elevation (m)","Area (Km2)","PA/OECM coverage (%)","Legacy site","Year of assessment"
"100145","South America","Peru","Churín - Río Huaura","Churín - Río Huaura","B1","Global","terrestrial, freshwater","-10.8140","-76.8980","1550 to 4850","389.94557","","No","2023"
"100146","South America","Peru","Cocachacra","Cocachacra","A1b,A1d,B1","Global","terrestrial, freshwater","-11.8875","-76.5219","1150 to 3700","125.262","","No","2023"
"100147","South America","Peru","Cochamarca - Río Huaura","Cochamarca - Río Huaura","B2","Global","terrestrial, freshwater","-10.9281","-77.0871","1150 to 4000","118.04702","","No","2023"
"100148","South America","Peru","Colonia Yauyos","Colonia Yauyos","A1b,A1d","Global","terrestrial","-12.4800","-75.8850","2300 to 4000","17.79801","","No","2023"
"100149","South America","Peru","Cotabambas","Cotabambas","B1","Global","terrestrial, freshwater","-13.7010","-72.3580","2000 to 4200","160.70038","","No","2023"
"100150","South America","Peru","Culebrillas","Culebrillas","A1b,A1d","Global","terrestrial, freshwater","-13.2730","-75.6220","1100 to 3550","197.86578","","No","2023"
"100151","South America","Peru","Cullahuasi","Cullahuasi","B1","Global","terrestrial","-13.5600","-75.4880","400 to 3700","387.04643","","No","2023"
"100152","South America","Peru","Dos de Mayo-Lauricocha","Dos de Mayo-Lauricocha","A1a,A1b,B1,B2","Global","terrestrial, freshwater","-9.8254","-76.7576","3200 to 4200","1680.96522","","No","2023"
"100153","South America","Peru","Huabayacu","Huabayacu","A1a,A1e,B1","Global","terrestrial","-6.6123","-77.5420","1250 to 3600","398.73131","","No","2023"
"100154","South America","Peru","Huacas de San Marcos-Parque de las Leyendas, Pucllana y Mateo Salado","Huacas de San Marcos-Parque de las Leyendas, Pucllana y Mateo Salado","A1a,B1","Global","terrestrial","-12.0599","-77.0863","65","0.32255","","No","2023"
"100155","South America","Peru","Huagal","Huagal","A1a,A1e,B1","Global","terrestrial, freshwater","-7.3110","-77.9950","1300 to 3000","55.67995","","No","2023"
"100156","South America","Peru","Izuchaca","Izuchaca","A1a,A1c,B1","Global","terrestrial, freshwater","-12.5790","-75.0690","2850 to 4750","232.28422","","No","2023"
"100157","South America","Peru","La Oroya - Huay Huay","La Oroya - Huay Huay","A1a,A1c,B1","Global","terrestrial, freshwater","-11.6712","-75.7416","3500 to 4500","642.72488","","No","2023"
"100158","South America","Peru","Lomas Cerro Campana","Lomas Cerro Campana","A1a,A1c,B1","Global","terrestrial","-7.9629","-79.1165","150 to 900","46.69821","","No","2023"
"100159","South America","Peru","Lomas de Atico","Lomas de Atico","A1a,A1c,B1","Global","terrestrial","-16.2140","-73.5540","1300","467.35069","","No","2023"
"100160","South America","Peru","Lomas de Camaná","Lomas de Camaná","A1a,A1c","Global","terrestrial","-16.6070","-72.5440","1000","315.64343","","No","2023"
"100161","South America","Peru","Lomas de Ilo","Lomas de Ilo","A1a,A1c","Global","terrestrial","-17.7188","-71.1724","120 to 1400","63.68698","","No","2023"
"100162","South America","Peru","Lomas de Quilca","Lomas de Quilca","A1a,A1c","Global","terrestrial, marine","-16.7470","-72.3900","1250","530.738","","No","2023"
"100163","South America","Peru","Lomas de Sama","Lomas de Sama","A1a,A1c","Global","terrestrial, freshwater","-18.0160","-70.7770","940","343.91376","","No","2023"
"100164","South America","Peru","Lomas de Tacahuay - Ite","Lomas de Tacahuay - Ite","A1a,A1c","Global","terrestrial, marine","-17.8118","-71.0367","1740","256.81481","","No","2023"
"100165","South America","Peru","Paloma","Paloma","B1","Global","terrestrial","-11.1520","-75.3270","850 to 1500","14.22835","","No","2023"
"100166","South America","Peru","Pozo Kuan","Pozo Kuan","A1b,B1","Global","terrestrial, freshwater","-7.4110","-78.6720","3320 to 4100","40.57251","","No","2023"
"100167","South America","Peru","Pucunucho","Pucunucho","A1c","Global","terrestrial","-7.2091","-76.7684","300 to 1100","33.76238","","No","2023"
"100168","South America","Peru","Puquina","Puquina","A1a,A1c","Global","terrestrial","-16.6070","-71.1910","3200 to 5070","808.09165","","No","2023"
"100169","South America","Peru","Quebrada Baja Tinajas","Quebrada Baja Tinajas","A1b,A1d","Global","terrestrial","-12.1160","-76.7760","300 to 1000","20.22226","","No","2023"
"100170","South America","Peru","Quebrada Quicacha","Quebrada Quicacha","A1b,A1d","Global","terrestrial, freshwater","-15.6180","-73.7940","1450 to 2800","50.35277","","No","2023"
"100171","South America","Peru","Quellouno","Quellouno","A1b,B1","Global","terrestrial, freshwater","-12.6200","-72.4710","800 to 2000","91.32802","","No","2023"
"100172","South America","Peru","Quesquenda - Quiruvilca","Quesquenda - Quiruvilca","A1a,B1","Global","terrestrial","-7.9253","-78.1907","3500 to 4000","49.09018","","No","2023"
"100173","South America","Peru","Corredor de Conchucos","Corredor de Conchucos","B1,B2","Global","terrestrial, freshwater","-9.3438","-77.1749","2450 to 3900","1212.77355","","No","2023"
"100174","South America","Peru","Río Chillón","Río Chillón","A1b,A1d,B1","Global","terrestrial, freshwater","-11.6350","-76.7270","1250 to 3700","155.39927","","No","2023"
"100175","South America","Peru","Río Fortaleza","Río Fortaleza","A1a,A1b,A1d,B1","Global","terrestrial, freshwater","-10.3197","-77.6220","200 to 2770","659.16359","","No","2023"
"100176","South America","Peru","Río Rupac","Río Rupac","B1,B2","Global","terrestrial, freshwater","-8.5793","-77.4834","1725 to 3730","170.36746","","No","2023"
"100177","South America","Peru","Río Vilcabamba","Río Vilcabamba","A1a,B1","Global","terrestrial, freshwater","-14.0530","-72.5920","2800 to 3900","52.11082","","No","2023"
"100180","South America","Peru","Tamshiyacu Tahuayo","Tamshiyacu Tahuayo","A1a,B1","Global","terrestrial, freshwater","-4.6080","-72.9630","150 to 250","4198.83708","","No","2023"
"100181","South America","Peru","Monte Azul","Monte Azul","","Global","terrestrial","-9.8667","-76.4331","3000 to 4200","6.27227","","No","2023"
"100182","South America","Peru","Huallaga Dry Forests ","Bosques Secos del Huallaga ","A1a,A1c","Global","terrestrial","-6.8595","-76.4341","300 to 600","70.24399","","No","2023"
"100185","South America","Peru","Tres Quebradas y Shitariyacu","Tres Quebradas y Shitariyacu","A1a,A1c","Global","terrestrial","-72.6171","-76.8806","350 to 1300","69.32175","","No","2023"
